,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,month_year,day_year,year_year,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size
13,8819.018934,99845,110,23,25,1,8,528.0,1,10,2011,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize
14,5384.431665,83689,70,21,10,2,8,307.139132,1,18,2011,California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Offer4,Call Center,Four-Door Car,Medsize
15,7463.139377,24599,64,12,50,1,2,104.0,1,17,2011,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize
16,2662.0,25049,67,14,7,0,1,454.245098,2,6,2011,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize
17,3945.241604,28855,101,12,59,0,1,647.442031,1,5,2011,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize
18,5710.333115,51148,72,9,1,0,7,308.981664,2,27,2011,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize
19,8162.617053,66140,101,11,21,0,3,484.8,1,14,2011,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car,Small
20,2872.051273,57749,74,31,21,0,1,355.2,2,19,2011,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Medsize
21,3041.791561,13789,79,8,49,0,1,379.2,1,21,2011,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize
22,15433.0,14072,71,13,3,0,2,511.2,1,26,2011,Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
23,2662.0,0,73,4,44,3,1,554.376763,2,24,2011,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize
24,2662.0,17870,61,30,91,0,1,439.2,2,5,2011,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize
25,5802.065978,97541,72,22,1,0,3,389.185006,1,29,2011,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Large
26,3946.372085,0,111,15,47,0,1,773.0,2,28,2011,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small
27,5346.916576,10511,139,33,64,0,1,516.237951,2,12,2011,Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate Auto,Offer1,Branch,SUV,Medsize
28,12902.56014,86584,111,33,54,2,2,532.8,2,2,2011,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Large
29,3235.360468,75690,80,17,44,1,1,384.0,2,7,2011,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Small
30,2662.0,23158,63,4,6,1,1,322.294043,2,28,2011,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Small
31,15433.0,65999,237,1,14,0,6,615.927769,1,22,2011,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Luxury SUV,Medsize
32,4715.321344,0,65,19,56,0,3,308.15089,1,25,2011,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize
33,5018.885233,54500,63,28,17,0,6,302.4,1,18,2011,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Small
34,4932.916345,37260,62,19,42,0,8,104.0,2,13,2011,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer3,Web,Four-Door Car,Medsize
35,5744.229745,68987,71,11,40,0,6,204.475147,1,15,2011,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize
36,13891.73567,42305,117,10,62,0,2,561.6,1,8,2011,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small
37,7380.976717,65706,91,19,86,0,8,436.8,2,6,2011,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Small
38,3090.034104,0,90,7,79,0,1,648.0,1,25,2011,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car,Small
39,2662.0,53243,66,4,15,2,1,157.397849,2,7,2011,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize
40,2662.0,0,70,7,1,1,1,484.318536,1,18,2011,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Offer3,Call Center,Two-Door Car,Medsize
41,2771.045031,50071,71,3,32,0,1,104.0,1,11,2011,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,Offer2,Agent,Two-Door Car,Medsize
42,3939.00637,60021,99,12,28,0,1,773.0,1,28,2011,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Small
43,12231.87968,43244,103,15,16,0,2,494.4,2,8,2011,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Sports Car,Medsize
44,2662.0,92834,61,15,56,0,1,292.8,2,23,2011,Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,Offer2,Call Center,Four-Door Car,Large
45,12819.10289,10105,172,5,4,3,3,104.0,1,25,2011,Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize
46,4468.510542,0,73,7,57,3,5,579.165954,1,31,2011,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize
47,5514.344018,23218,71,7,10,0,4,447.79344,1,2,2011,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Offer4,Agent,Two-Door Car,Medsize
48,3343.875326,0,92,11,77,0,1,529.624084,2,7,2011,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car,Medsize
49,2662.0,0,62,11,56,0,1,313.023175,1,18,2011,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize
50,15433.0,24804,104,1,28,0,2,593.830288,1,17,2011,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Small
51,15433.0,33190,106,18,95,0,2,508.8,1,11,2011,California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Web,SUV,Medsize
52,7983.431709,36014,69,4,40,3,2,173.956072,2,21,2011,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Offer4,Branch,Four-Door Car,Medsize
53,4854.745666,29834,64,19,44,0,3,307.2,2,16,2011,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer4,Agent,Four-Door Car,Medsize
54,4293.997319,16701,113,20,26,0,1,773.0,1,17,2011,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Small
55,7164.395543,46623,91,1,53,0,3,436.8,2,5,2011,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer3,Call Center,Four-Door Car,Small
56,7619.5158,64749,64,24,59,0,2,302.56519,2,13,2011,California,No,Basic,College,Employed,M,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize
57,3958.002823,0,101,29,12,0,1,484.8,2,23,2011,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Call Center,SUV,Small
58,4499.493252,16969,124,34,47,2,1,704.768111,1,28,2011,Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,SUV,Medsize
59,4059.567414,11621,108,4,98,0,1,518.4,2,28,2011,Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
60,4458.113369,17622,65,1,36,1,3,312.0,1,2,2011,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
61,8110.333139,11489,105,4,50,0,6,504.0,1,22,2011,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Offer1,Call Center,Two-Door Car,Small
62,3339.764873,0,94,20,53,0,1,773.0,1,15,2011,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Two-Door Car,Small
63,15433.0,66525,100,0,86,0,2,104.331355,1,27,2011,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize
64,6613.973653,0,63,21,28,0,2,676.391482,1,23,2011,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Four-Door Car,Large
65,2930.693543,33663,73,29,71,0,1,350.4,1,31,2011,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize
66,8672.194272,22547,112,7,60,0,3,537.6,1,26,2011,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Agent,SUV,Medsize
67,11638.66926,61486,97,5,65,0,2,465.258644,1,10,2011,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,Two-Door Car,Small
68,6846.150323,0,95,13,20,0,5,456.0,1,27,2011,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,Two-Door Car,Large
69,11727.77648,29879,102,17,0,0,2,500.254235,1,9,2011,California,No,Premium,College,Disabled,F,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize
70,15433.0,93011,113,17,12,0,2,281.451042,2,24,2011,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Offer4,Agent,SUV,Medsize
71,2662.0,65186,65,29,27,0,1,104.0,2,11,2011,Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Large
72,2662.0,26840,64,1,47,2,1,307.2,2,12,2011,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
73,6781.270203,0,104,30,3,1,5,773.0,2,4,2011,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Sports Car,Medsize
74,4974.801539,75644,65,5,68,3,9,467.803638,1,18,2011,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Branch,Two-Door Car,Medsize
75,8591.604933,38984,73,27,38,0,2,350.4,2,11,2011,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Small
76,5592.161392,71811,71,17,48,0,6,104.0,2,1,2011,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize
77,8009.472833,20961,67,20,33,0,2,321.6,2,15,2011,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize
78,11318.08982,38923,99,6,83,2,2,115.728852,2,6,2011,Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
79,15433.0,61321,186,0,30,1,2,427.63121,2,27,2011,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer2,Branch,Luxury Car,Small
80,8025.229358,0,77,20,26,0,2,104.0,1,26,2011,California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,Offer3,Branch,Two-Door Car,Large
81,5780.182197,51066,74,23,0,0,8,773.0,2,26,2011,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize
82,4118.539113,34378,102,12,54,0,1,489.6,1,27,2011,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal Auto,Offer3,Branch,SUV,Medsize
83,2662.0,43072,63,35,15,0,1,302.4,1,16,2011,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Large
84,6554.216396,25222,90,28,69,0,3,475.623251,1,27,2011,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car,Small
85,7703.397294,36765,66,15,32,1,2,320.849072,2,28,2011,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize
86,5926.729379,23091,96,28,90,5,5,460.8,1,25,2011,California,Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
87,2683.470677,48269,69,3,79,3,1,282.151207,1,1,2011,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Offer3,Web,Four-Door Car,Medsize
88,2695.182419,32720,67,13,12,0,1,321.6,2,1,2011,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Offer3,Branch,Four-Door Car,Medsize
89,6047.02516,20396,76,15,60,1,4,364.8,2,19,2011,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize
90,13171.01282,21513,119,21,81,1,2,679.827592,1,27,2011,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Small
91,10656.88195,72540,88,7,3,0,2,631.743039,2,27,2011,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Two-Door Car,Medsize
92,2662.0,80744,63,24,84,0,1,104.0,1,17,2011,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
93,2672.095756,52822,67,23,88,0,1,350.529033,2,10,2011,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Two-Door Car,Small
94,5313.294035,0,77,8,10,1,9,773.0,1,24,2011,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
95,15433.0,69738,74,2,26,1,2,492.127532,2,24,2011,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Large
96,8375.353929,17780,109,12,18,0,9,132.588288,2,15,2011,Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize
97,4801.661503,18107,62,29,11,0,8,297.6,2,16,2011,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
98,5745.94334,57740,74,30,87,3,9,269.905129,1,22,2011,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize
99,6066.115969,32627,76,11,60,0,7,380.036697,2,25,2011,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Small
100,8002.308333,0,107,3,65,0,3,513.6,1,11,2011,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Medsize
101,2662.0,0,70,24,10,0,1,425.266308,1,31,2011,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car,Medsize
102,4762.8179,65795,62,2,85,1,3,104.0,1,12,2011,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,Offer3,Call Center,Two-Door Car,Medsize
103,4330.38602,60475,107,9,18,0,1,513.6,2,16,2011,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize
104,9402.729769,0,130,28,88,0,4,773.0,2,9,2011,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Web,SUV,Medsize
105,6966.694527,41837,88,29,93,0,9,142.062768,1,19,2011,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Small
106,7694.064293,32303,65,13,34,0,2,104.0,1,4,2011,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer3,Branch,Four-Door Car,Medsize
107,8717.561149,0,117,5,89,1,3,561.6,1,9,2011,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Medsize
108,5928.748528,40531,74,17,32,0,9,104.0,1,27,2011,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize
109,2662.0,79898,62,5,86,1,1,271.606799,2,14,2011,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Offer4,Agent,Four-Door Car,Medsize
110,6701.571657,56398,85,4,18,0,7,408.0,2,27,2011,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Four-Door Car,Small
111,7556.24034,35257,98,16,2,1,8,470.4,2,12,2011,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Offer2,Web,Four-Door Car,Small
112,8492.6988,27804,109,19,54,0,7,773.0,2,26,2011,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV,Medsize
113,7713.494046,45506,66,16,32,2,2,316.8,2,20,2011,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
114,15433.0,65196,67,0,54,0,2,396.082036,2,2,2011,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize
115,7290.069769,0,102,11,70,1,3,489.6,2,15,2011,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Agent,SUV,Medsize
116,4772.943848,20993,133,35,90,0,1,638.4,2,18,2011,Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,Offer2,Agent,SUV,Medsize
117,6806.491395,37839,86,35,77,0,9,465.633954,1,21,2011,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize
118,2662.0,92711,62,24,10,0,1,368.400146,1,15,2011,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car,Medsize
119,3103.923041,74665,78,10,90,2,1,236.902001,2,5,2011,California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car,Medsize
120,2981.875575,0,83,26,89,0,1,582.679087,2,24,2011,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Offer3,Web,Two-Door Car,Medsize
121,8902.737595,46833,112,6,3,0,9,104.0,1,5,2011,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer1,Call Center,Sports Car,Medsize
122,5499.447223,88768,68,17,77,0,7,326.4,1,28,2011,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer3,Branch,Two-Door Car,Small
123,15023.59858,28262,192,9,77,0,3,773.0,1,12,2011,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer3,Web,Luxury SUV,Medsize
124,2662.0,33555,63,17,11,0,1,104.0,2,16,2011,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
125,15433.0,42780,113,10,27,1,2,542.4,1,3,2011,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize
126,3133.503432,58850,78,20,26,0,1,143.747794,2,7,2011,Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal Auto,Offer2,Branch,Four-Door Car,Medsize
127,3837.451863,21880,97,29,37,0,1,424.077159,1,13,2011,Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,Offer1,Branch,Four-Door Car,Medsize
128,11790.49617,25251,66,13,43,0,2,316.8,1,3,2011,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal Auto,Offer2,Web,Four-Door Car,Medsize
129,7838.068321,0,69,9,12,0,2,104.0,2,17,2011,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize
130,4305.808345,24188,109,14,82,0,1,523.2,1,21,2011,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Sports Car,Medsize
131,5973.976904,41611,74,14,8,0,8,113.801497,1,26,2011,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,Offer1,Branch,Four-Door Car,Medsize
132,5670.442396,28406,72,16,35,1,4,192.87572,1,31,2011,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize
133,4731.749346,69833,118,32,99,0,1,773.0,1,2,2011,Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small
134,8026.379641,0,74,15,91,0,2,532.8,2,7,2011,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Web,Four-Door Car,Small
135,4022.963529,0,117,6,1,0,1,773.0,1,26,2011,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize
136,9618.310865,80536,119,5,83,0,3,104.0,1,11,2011,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Offer1,Branch,Sports Car,Medsize
137,2662.0,0,63,2,5,0,1,606.642452,1,15,2011,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car,Small
138,9552.926922,97732,79,0,70,0,2,289.9122,2,8,2011,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize
139,10388.55323,61222,89,20,55,0,2,392.604371,1,11,2011,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,Offer3,Branch,Four-Door Car,Small
140,2662.0,0,74,7,20,0,1,721.242206,1,9,2011,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer4,Web,Two-Door Car,Large
141,5619.068508,50335,140,9,54,0,1,456.52385,2,4,2011,Arizona,No,Premium,Master,Employed,M,Urban,Married,Personal Auto,Offer1,Call Center,SUV,Medsize
142,9047.119209,0,127,30,11,0,6,773.0,1,21,2011,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Sports Car,Medsize
143,6692.143668,63221,168,28,49,0,1,773.0,2,16,2011,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer3,Agent,SUV,Medsize
144,3731.504584,0,96,31,34,0,1,460.8,2,24,2011,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Large
145,3660.770258,64495,92,34,30,0,1,251.992083,1,18,2011,Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Offer4,Web,Four-Door Car,Medsize
146,7928.829252,0,72,7,75,0,2,345.6,1,30,2011,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car,Medsize
147,5011.751577,28859,67,24,51,3,4,321.6,1,9,2011,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Call Center,Two-Door Car,Medsize
148,7988.258292,77330,99,0,21,0,3,104.0,2,1,2011,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize
149,3885.456401,0,105,3,92,0,1,504.0,2,28,2011,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Four-Door Car,Large
150,2662.0,24495,70,29,65,0,1,336.0,1,31,2011,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer4,Branch,Four-Door Car,Small
151,8564.768226,95697,107,29,29,0,9,178.006524,2,17,2011,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer2,Agent,Sports Car,Medsize
152,4885.162511,26372,126,11,7,0,1,604.8,2,12,2011,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Offer4,Agent,SUV,Medsize
